,0.4090136186,363.6827635,0.5538631503,306.6305498,0.3399513324,307.7750268,0.1739707587,365.0999378,0.4086073026,366.0875396,0.6407298937,657.1875528,0.1315539739,199.2862907,0.3457240421,311.1048262,0.4553732831,467.3513491,0.1642073157,283.1847547,0.6403611151,649.706534,0.3561212057,332.5725081,0.439559729,363.6827635,0.3777847275,329.76208,0.4061783326,366.4380201,0.4207313651,366.4380201,0.4613288418,366.4380201,0.4965524806,435.5967548,0.3530270319,509.9786213,0.493528077,136.7844214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3703334358,451.0769246,0.5398761969,367.310828,0.3360408196,384.1135556,0.1670969251,479.5723854,0.3703388094,454.0442551,0.5855816761,735.0146016,0.1092685652,262.9212049,0.3169990944,398.5483393,0.4327726564,592.2358907,0.1881855478,417.3055973,0.5844557323,726.2054407,0.3257975847,419.330044,0.3975130627,451.0769246,0.343660363,416.7888949,0.3648286379,457.2696778,0.3771527584,457.2696778,0.4103447787,457.2696778,0.442177223,517.2563879,0.3305115191,594.9660441,0.4363247435,204.1710113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.4008937422,259.5247538,0.5479648468,217.7980342,0.3370560405,220.6393754,0.1727933508,263.3876461,0.4004738998,261.3006289,0.6287547346,456.9087972,0.1264446005,143.8582626,0.3386614417,222.9627307,0.4512021359,336.1985583,0.1637833436,206.2167237,0.6282326042,451.5261764,0.3492309236,238.1575848,0.4297572456,259.5247538,0.3709504986,236.3711055,0.3981170706,261.4298098,0.4104658252,261.4298098,0.4494446708,261.4298098,0.4838950469,308.3626168,0.3461828937,360.187719,0.4892453676,99.37220173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3461002155,42.18456798,0.4231041477,36.6223947,0.2210015345,41.60931854,0.1186178718,52.11799684,0.3438857661,42.28649332,0.6533566317,84.38962877,0.08495870754,25.13635842,0.2831127141,36.50940578,0.4356317387,56.22231917,0.1601246962,35.73568574,0.6542511761,83.42695525,0.3602367049,45.31012826,0.3895231122,42.18456798,0.3099763486,37.94089866,0.3437392122,42.40775479,0.3456866,42.40775479,0.406642621,42.40775479,0.4763768658,50.21224895,0.3288489113,106.0716051,0.4503954364,12.50574959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3038672446,95.03745615,0.427435257,76.83518743,0.2429220644,89.63675392,0.1245271571,118.5929131,0.3031103656,94.63965871,0.539129879,146.2142976,0.06516080072,60.18976892,0.2523408492,84.27492337,0.4100041758,130.2189666,0.1878696797,98.03541587,0.5376152179,145.2571691,0.2910363243,95.85440216,0.3277497202,95.037,0.280835735,88.30044876,0.3000770267,96.14780031,0.2907809027,96.14780031,0.3200608189,96.14780031,0.3682561698,103.1995791,0.283332972,174.3120532,0.3941309828,39.72927521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3445522675,30.41103226,0.4148952891,26.50693156,0.2142354943,30.27033448,0.115450831,37.86760684,0.3418581842,30.47917051,0.6526617335,60.74217812,0.08340516668,18.12020831,0.2817926886,26.32144786,0.4365329448,40.65845771,0.1565213832,25.45527486,0.6538952189,60.05281121,0.353375605,32.51529125,0.388,30.411,0.3078383005,27.31706109,0.3423320643,30.54735238,0.3421235933,30.54735238,0.4010376476,30.54735238,0.4701838594,35.85047062,0.3181898287,76.45329976,0.4558792848,8.615485236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3652116426,41.34044918,0.3562200595,39.20222976,0.1513740555,46.35918298,0.09065014299,56.40678674,0.3636825121,41.74291216,0.7599209986,121.6301617,0.08583438534,24.11460893,0.2879866983,35.13141215,0.4588884324,53.68610882,0.1271820985,29.11670999,0.7618928237,119.7012182,0.3396024149,44.31589249,0.446,41.340,0.3046466958,35.22924705,0.3648127664,41.48036517,0.3802407338,41.48036517,0.475475065,41.48036517,0.5718113186,51.59483412,0.3063017657,135.4968017,0.5023207838,5.224005422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3418265171,66.26892127,0.3444613081,61.4259135,0.150621785,73.38774972,0.08900299617,90.36302931,0.3426747657,66.19500602,0.7120394285,160.3796429,0.07407243879,39.83405267,0.2749270431,56.73946861,0.4547823495,89.57805133,0.1368631722,49.76818259,0.7126352454,159.1715358,0.3033823915,68.41024817,0.4079459081,66.26892127,0.2900830349,57.71463777,0.3413471378,66.47213861,0.3464861046,66.47213861,0.4202094861,66.47213861,0.495579494,77.45987173,0.2732808075,185.6351399,0.4805424622,9.467698828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3607663895,30.26462066,0.3509190802,28.64355279,0.1482219022,34.02599047,0.08817708445,41.57468134,0.3588424673,30.53555379,0.7551616643,87.38384252,0.08249530741,17.7348709,0.2847023958,25.79050553,0.4572024559,39.45535766,0.1270045362,21.51653809,0.7571721656,85.99735832,0.3309196403,32.31223702,0.4403134401,30.26462066,0.3003230159,25.82516492,0.3603501111,30.36706791,0.3733433345,30.36706791,0.4636374495,30.36706791,0.5579149481,37.00825108,0.2963001189,97.87221803,0.4995568521,3.818748911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3907439682,456.0366228,0.5871283129,374.4857774,0.390467963,379.9985432,0.1977293001,460.0360777,0.3911561973,457.6969993,0.5845434967,714.3380111,0.1237632197,258.2510493,0.3353804836,398.7220659,0.441554517,588.9507721,0.1940399535,412.0953745,0.5836207565,707.9054104,0.3518141787,423.5758485,0.4145905355,456.0366228,0.3677714615,422.1295143,0.3835873247,464.3385543,0.4016393776,464.3385543,0.4316950554,464.3385543,0.4643755267,524.3841731,0.3548691342,574.5052221,0.4565213131,232.1283372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3564619626,534.944018,0.569487788,424.6274501,0.3718099554,450.7282127,0.1817520607,580.0973547,0.3575100823,536.5995173,0.5370281461,782.280009,0.1045510244,317.7063195,0.3180826649,485.1572512,0.4238612031,700.8030599,0.2277015297,571.6002113,0.5353277822,775.5024034,0.3225884473,503.0733271,0.3791329306,534.944018,0.3364557189,500.3758636,0.3461359415,549.824361,0.3664766199,549.824361,0.3912730508,549.824361,0.4212622676,593.1983682,0.3323635838,646.935995,0.4022184997,304.3190114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3820136469,323.5331913,0.5810731813,263.5886623,0.3861169052,270.2331333,0.1948857678,330.4654235,0.3824659042,324.7438252,0.5719496486,496.4515499,0.1181768819,185.5101274,0.3279340504,284.3436213,0.4373086356,420.6466168,0.1952266906,299.8526461,0.5708924328,491.9495378,0.3440196438,301.2752005,0.4047797235,323.5331913,0.359983242,300.5052202,0.3747957766,329.5566571,0.3914433692,329.5566571,0.4199582187,329.5566571,0.4520779643,369.1181816,0.3476544718,404.1810983,0.4487075754,167.2905031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3313878544,112.8634194,0.4896708055,90.6148713,0.2967287677,101.5888393,0.1513018946,131.6642552,0.3303374317,113.5706862,0.5601806794,179.0236215,0.08275579692,68.81459752,0.2854769551,101.7371515,0.4221738353,153.196227,0.2027049011,115.8039187,0.5593017128,176.6527195,0.3132185861,111.6379735,0.3575285995,112.8634194,0.3076076645,105.0967285,0.3240407684,114.9382735,0.3298382888,114.9382735,0.364671135,114.9382735,0.407709752,126.5437355,0.3113754899,184.4622057,0.4018730849,53.80902299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2865186653,184.7169399,0.4665543468,140.1950977,0.2820673412,166.4387011,0.1392381407,232.4093943,0.2867961709,185.4725393,0.4725500722,255.3225502,0.0617723581,118.8921762,0.2686700287,174.4526398,0.4006844631,255.6897308,0.243589162,233.4040158,0.4702620572,252.4974375,0.2668301488,181.5508787,0.3068011672,184.7169399,0.2691165358,174.7841896,0.2747108961,190.8142397,2.79E-01,190.8142397,0.3009492481,190.8142397,0.3346579718,195.0345189,0.2738359155,262.6240101,0.3390477196,105.5584207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3267250753,83.02062198,0.4837797333,66.47701782,0.2928766639,74.93857769,0.1495143578,97.36119957,0.3254136277,83.53643411,0.5516747402,129.6857004,0.0799815317,50.93065623,0.2807345175,74.93573085,0.4202790404,113.2109873,0.2001663481,85.45881912,0.5507672378,127.9410987,0.3067321317,81.98860676,3.51E-01,83.02062198,0.3035209098,77.45040826,0.3196832269,84.4842672,3.23E-01,84.4842672,0.3557483175,84.4842672,0.3978643429,92.4310018,0.3028800576,134.3090964,0.4007166831,39.46868565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3481063494,116.019294,0.4558249904,97.02418164,0.2563797761,108.8721488,0.1364020216,137.1727614,0.3463297848,116.9711223,0.6344833582,219.9091358,0.0869245293,69.00881632,0.2898918988,102.1514052,0.4366927472,157.0229705,0.1765507031,104.4959133,0.6341737728,216.4708673,0.3109872559,113.3943133,3.86E-01,116.019294,0.3149286372,105.8753008,0.3438221074,117.2780116,3.50E-01,117.2780116,0.3986632552,117.2780116,0.4498151463,134.766591,0.3034178521,214.9662647,0.4316945465,41.89445501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.309150937,181.9868502,0.4435938019,145.1736912,0.2551958552,169.4766454,0.1318562831,226.1432334,0.3084933607,182.6916293,0.5546870007,291.7849945,0.06920323362,113.8676349,0.2732359178,166.4046622,0.4157610199,251.2814888,0.214980946,199.1709868,0.5526895695,288.0678691,0.2754224509,176.9615286,3.37E-01,181.9868502,0.2837563835,169.4368603,0.3007650051,186.1327179,0.3034634675,186.1327179,0.336783815,186.1327179,0.3782007936,199.2756715,0.2753306871,292.0636601,0.3720725245,82.42747806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3436922168,85.05593839,0.4510655151,71.00056117,0.2537991235,80.02446904,0.1350769082,101.0366204,0.3416350974,85.74548979,0.6258794833,157.9063954,0.08426645001,50.88053098,0.2857178464,75.02258361,0.434910508,115.689634,0.174239703,76.90787257,0.6254896199,155.3884776,0.3055501395,83.11062434,0.3792430895,85.05593839,0.3112404297,77.80828332,0.3396489301,85.9184012,0.3430303125,85.9184012,0.3894048334,85.9184012,0.4393890442,97.99923309,0.2957408115,155.7497142,0.4315950643,30.70544034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3833520963,472.9129257,0.5774994018,382.1550172,0.3789949516,390.2830916,0.1901135126,480.2562028,0.384021309,474.7225016,0.5816256928,746.1894256,0.1179301606,270.1637696,0.3297552281,415.8236474,0.4393125764,614.0078411,0.199798526,439.1543997,0.5805909623,739.7017993,0.3420429816,437.4199375,0.4089402427,472.9129257,0.3591942708,437.2521449,0.3752774715,482.485939,0.3958362736,482.485939,0.4270014439,482.485939,0.459451991,544.6020868,0.3502181555,593.4455745,0.435479543,238.4882027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3505672089,551.3249015,0.5611763637,431.6207205,0.3625638366,460.6217387,0.176133021,600.2116539,0.3519482479,553.059162,0.5352825698,812.1084746,0.1002517383,329.5435115,0.3136136137,502.0951333,0.422277825,725.2895197,0.2307248416,599.548327,0.5334577788,805.4314826,0.315,516.5827551,0.3747667489,551.3249015,0.3296429465,515.1676238,0.3396611555,567.552,0.3619309279,567.5523129,0.3877051568,567.5523129,0.4175000976,612.3813505,0.3288028041,664.632019,0.3866479333,311.3843521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
